,chi1,chi2,knee,trial,err_chi1,err_chi2,err_knee
212,0.0,0.5,10.0,2.0,0.10351716772422459,0.0642106924803445,8.535244772729818
213,0.0,0.5,10.0,3.0,0.07700592695129709,0.058487664299351594,12.062533266665323
214,0.0,0.5,10.0,4.0,6.211975026271628e-18,0.15465741462003824,19.539884993916566
215,0.0,0.5,10.0,5.0,0.18454096177236184,-0.49990728540155543,7.035774903303306
216,0.0,0.5,10.0,6.0,0.20615781565477978,-0.49998648059955214,7.158519745529652
217,0.0,0.5,10.0,7.0,0.08855963745805218,-0.4997599009408883,14.275336577001816
218,0.0,0.5,10.0,8.0,0.002751936447022225,0.1254537841451645,15.701472801830825
219,0.0,0.5,10.0,9.0,5.365587391766692e-14,-0.07067943954273831,-3.342273368983208
220,0.0,0.5,20.0,0.0,0.08525086298260626,-0.499998981152374,13.034879290003659
221,0.0,0.5,20.0,1.0,0.15247391750709893,-0.49630286322829537,5.652888634017781
222,0.0,0.5,20.0,2.0,0.08179431098862203,-0.4999857378336313,8.643020737567461
223,0.0,0.5,20.0,3.0,4.4391966864752654e-13,0.11783991761986223,14.377706436499253
224,0.0,0.5,20.0,4.0,1.4111722386638787e-16,0.051358270074199686,32.93949328940249
225,0.0,0.5,20.0,5.0,1.476013324289146e-19,0.2502571629096144,28.350236328680367
226,0.0,0.5,20.0,6.0,0.012473528636792247,0.18927609213582974,27.172580829612187
227,0.0,0.5,20.0,7.0,1.0728586805300625e-18,0.294788290892542,29.267628752566743
228,0.0,0.5,20.0,8.0,6.3018448126001e-29,0.12169264701310556,29.176019681328754
229,0.0,0.5,20.0,9.0,6.625573995980666e-14,-0.18494666176277064,30.079359633609975
230,0.0,0.5,30.0,0.0,5.371308141611158e-15,-0.49999999999999534,15.981213122280245
231,0.0,0.5,30.0,1.0,6.04180527352442e-23,0.18535562003120165,38.50981533646731
232,0.0,0.5,30.0,2.0,0.0535550650952891,-0.4999976415967522,9.396732201589401
233,0.0,0.5,30.0,3.0,2.5037741698874224e-26,0.011613754533893905,39.897198511444245
234,0.0,0.5,30.0,4.0,1.0718283272659229e-13,-0.21241341544032166,-26.175111586978172
235,0.0,0.5,30.0,5.0,0.05024040930584118,-0.4999933124501661,10.737009964431572
236,0.0,0.5,30.0,6.0,3.9374591706401924e-28,0.3094945250346448,37.34962196050516
237,0.0,0.5,30.0,7.0,0.03325049591426154,0.25517037592098424,31.792813187069243
238,0.0,0.5,30.0,8.0,0.041905676617756495,-0.4999962165714526,10.983181557891385
239,0.0,0.5,30.0,9.0,4.2322639718746276e-12,-0.499999999997369,14.508359511647747
240,0.0,0.5,40.0,0.0,1.3607570458865757e-37,0.06959543694809966,56.385625235938534
241,0.0,0.5,40.0,1.0,0.05130600158477479,-0.4999962717171359,6.780134208355456
242,0.0,0.5,40.0,2.0,0.03317766812713476,-0.4999820094199388,12.59413357804116
243,0.0,0.5,40.0,3.0,2.211130498488893e-28,0.31356886668363493,48.34580096273696
244,0.0,0.5,40.0,4.0,0.046926340175471586,-0.4999999999937399,9.599159760428023
245,0.0,0.5,40.0,5.0,0.09691261933397556,-0.4997990591667118,4.001302712182479
246,0.0,0.5,40.0,6.0,2.620787369890385e-20,0.05672949780005365,-2.3771163239129436
247,0.0,0.5,40.0,7.0,6.690343619147379e-16,-0.4999999999991248,18.20864286481327
248,0.0,0.5,40.0,8.0,4.712354306709781e-11,-0.0913378375498261,-32.655376914701236
249,0.0,0.5,40.0,9.0,4.542240945214793e-30,0.12428162620454941,53.72045595740323
250,0.0,0.5,50.0,0.0,0.0781402940895951,-0.49999979362118335,6.183009098652732
251,0.0,0.5,50.0,1.0,2.6860195723076977e-19,0.3514160407858927,0.11458401202769863
252,0.0,0.5,50.0,2.0,3.034801866832524e-18,-0.49999999999999906,13.017442877327866
253,0.0,0.5,50.0,3.0,7.625519740921504e-35,0.03391926703481096,70.4905022380967
254,0.0,0.5,50.0,4.0,8.592435586318027e-27,0.33148550463645765,65.08286173447895
255,0.0,0.5,50.0,5.0,0.04055947004898209,-0.49998393898462185,18.146475881212424
256,0.0,0.5,50.0,6.0,1.0031062187098815e-13,-0.49999999999854433,18.97469157951697
257,0.0,0.5,50.0,7.0,6.761527227746443e-14,-0.49999999999852174,11.498076850620762
258,0.0,0.5,50.0,8.0,0.05191379976127636,0.21877462273213555,50.693227482913755
259,0.0,0.5,50.0,9.0,1.3147626394405623e-16,-0.4999999999999358,12.935053140012748
260,0.0,0.5,60.0,0.0,1.3504556182297424e-24,0.17918760732958605,67.71087029465491
261,0.0,0.5,60.0,1.0,0.028595402000585652,-0.40420063936172207,10.057066332491246
262,0.0,0.5,60.0,2.0,1.153567092564637e-28,0.3489138616183426,80.45359492972128
263,0.0,0.5,60.0,3.0,7.755585956765963e-18,-0.49999999999999967,44.613976426516544
264,0.0,0.5,60.0,4.0,4.947357185003196e-30,0.1553937972094277,-24.711264872660884
265,0.0,0.5,60.0,5.0,0.10642389765378282,-0.4999520598558294,-3.0751607187618006
266,0.0,0.5,60.0,6.0,0.030747068094917132,-0.49999999995000866,7.155502463163401
267,0.0,0.5,60.0,7.0,4.667538830342312e-16,-0.49999999999988615,13.75039146702791
268,0.0,0.5,60.0,8.0,3.4818796122696054e-18,-0.4999999999999987,53.842792092557374
269,0.0,0.5,60.0,9.0,4.793609331296537e-15,-0.4999999999999539,11.520019066279104
270,0.0,0.5,70.0,0.0,0.052583366113744257,-0.49996901301379254,-3.40195391111169
271,0.0,0.5,70.0,1.0,8.300846451593204e-14,-0.49999999999895267,1.1102760589527207
272,0.0,0.5,70.0,2.0,0.029168535009322646,-0.3557907926467766,0.9971930769122253
273,0.0,0.5,70.0,3.0,0.05164078135800846,-0.49999486098755463,16.815079000384657
274,0.0,0.5,70.0,4.0,3.2872680280138233e-32,0.08999933458209308,94.60965728908701
275,0.0,0.5,70.0,5.0,1.5964364549314597e-30,0.19599297517088166,105.84897723480768
276,0.0,0.5,70.0,6.0,1.2198369960791636e-14,-0.49999999999618694,1.5461832844310948
277,0.0,0.5,70.0,7.0,0.06741371587781936,-0.49995600203749674,7.231424018952708
278,0.0,0.5,70.0,8.0,2.276092902792401e-19,-0.5,-2.6208551707660774
279,0.0,0.5,70.0,9.0,1.494162928237012e-30,0.12918363493177387,77.35172892319105
280,0.0,0.5,80.0,0.0,1.366518522037288e-13,-0.49999999998336475,-3.5141117746659063
281,0.0,0.5,80.0,1.0,0.10049882229804621,-0.4999823445062011,42.19732535981109
282,0.0,0.5,80.0,2.0,5.802725990732198e-28,0.45526642357944924,86.5242593856793
283,0.0,0.5,80.0,3.0,1.499605939110466e-17,-0.4999999999999997,-8.21245580057193
284,0.0,0.5,80.0,4.0,2.6889917489344044e-13,-0.4999999999981874,-2.413890496532872
285,0.0,0.5,80.0,5.0,0.001545331347015827,-0.4997934798901267,-1.1672677924320283
286,0.0,0.5,80.0,6.0,6.921348642591088e-25,0.5432750054691151,83.5224223955974
287,0.0,0.5,80.0,7.0,0.09386875191578904,-0.49998352953084624,-15.404023349129929
288,0.0,0.5,80.0,8.0,0.010992407612596703,-0.49999668981336454,-4.323342813893987
289,0.0,0.5,80.0,9.0,3.529992099647897e-14,0.5332282543402227,84.69046911951139
290,0.0,0.5,90.0,0.0,2.818804012025595e-35,0.005015071219014566,119.71800725555542
291,0.0,0.5,90.0,1.0,0.002196077813409394,-0.4999999999010058,-9.654991749536308
292,0.0,0.5,90.0,2.0,4.872761392719547e-13,-0.2036764694553742,-52.01939793504112
293,0.0,0.5,90.0,3.0,0.08156641673013507,-0.49999999994921235,-22.172522173331586
294,0.0,0.5,90.0,4.0,5.26369416918913e-33,0.45599789799327783,107.83622564099645
295,0.0,0.5,90.0,5.0,1.1348995899850767e-33,0.1276748361995531,106.00580191782353
